Year,Series,Company,No.,Faction,Name,Secondary Name,Alternate Mode,Size Class,Notes,Distribution,Original Price
1984,The Transformers,Hasbro,-,Autobot,Sunstreaker,Sunstreaker,Lamborghini Countach LP500S,Autobot Car,"Lamborghini Countach LP500S based on Takaras ""Cosmo Countach"" from 1977 Microman Command. Due to the similarities with Sideswipe, their profiles were accidentlly switched.",Mainline,$9.95
1984,The Transformers,Hasbro,-,Autobot,Trailbreaker,Trailbreaker,Toyota Hilux 4WD Camper,Autobot Car,,Mainline,$9.95
1984,The Transformers,Hasbro,-,Autobot,Wheeljack,Wheeljack,1975 Lancia Stratos Turbo,Autobot Car,"Based on the Lancia Stratos which raced in the 1976 FIA Group 5. The livery was initially the red Marlboro (cigarette company). The  remaing #598 car (#599 was written off in the race) was repainted in the green Alitalia livery, an Itallian airline company, spelt ""Alitalla"" on the toy and numbered 539. The #539 car was driven to victory in the Giro D'Italia in 1977",Mainline,$9.95
1984,The Transformers,Hasbro,-,Autobot,Brawn,Gong,Jeep Wrangler,Minibot,"Dark green Jeep Wrangler, originally from Takaras Micro Change line. There is evidence to suggest Gears (along with Brawn, Windcharger & Huffer) came from the unreleased Knickerbocker ""Mysterians"" series and was named Jeepar. There is an ""M"" moulded on Brawn's bonnet which you could be excused for thinking it stands for ""Micro Change"" but this same stylised ""M"" appears on the ""Mysterian"" figures released by Marchon inc in 1984. Gears was unreleased in Japan.",Mainline,$2.99
1984,The Transformers,Hasbro,-,Autobot,Bumblebee,Bumble,Volkswagen Type-1,Minibot,"Based on a Choro-Q (aka Penny Racer) Volkswagen Type-1 (aka VW Beetle), originally from Takaras Micro Change line. A red version was also available in order to bulk up the toy line. The red version was also available in 1985.",Mainline,$2.99
1984,The Transformers,Hasbro,-,Autobot,Cliffjumper,Cliff,Porsche 924 Turbo,Minibot,"Based on a Choro-Q (aka Penny Racer) Porsche 924 Turbo, originally from Takaras Micro Change line. A yellow version was also available in order to bulk up the toy line. The yellow version was also available in 1985.",Mainline,$2.99
1984,The Transformers,Hasbro,-,Autobot,Gears,Gears,Pick-up Truck,Minibot,"Red & Blue Pick-Up Truck, originally from Takaras Micro Change line. There is evidence to suggest Gears (along with Brawn, Windcharger & Huffer) came from the unreleased Knickerbocker ""Mysterians"" series and was named Blazar. There is an ""M"" moulded on Gears bonnet which you could be excused for thinking it stands for ""Micro Change"" but this same stylised ""M"" appears on the ""Mysterian"" figures released by Marchon inc in 1984. Gears was unreleased in Japan.",Mainline,$2.99
1984,The Transformers,Hasbro,-,Autobot,Huffer,Drag,Semi-cab,Minibot,"Orange Semi-Cab, originally from Takaras Micro Change line. There is evidence to suggest Huffer (along with Brawn, Windcharger & Gears) came from the unreleased Knickerbocker ""Mysterians"" series and was named Truckar. There is an ""M"" moulded on Huffers cab door which you could be excused for thinking it stands for ""Micro Change"" but this same stylised ""M"" appears on the ""Mysterian"" figures released by Marchon inc in 1984.",Mainline,$2.99
1984,The Transformers,Hasbro,-,Autobot,Windcharger,Charger,Pontiac Firebird,Minibot,"Red Pontiac Firebird, originally from Takaras Micro Change line. There is evidence to suggest Windcharger (along with Brawn, Huffer & Gears) came from the unreleased Knickerbocker ""Mysterians"" series and was named Speedar.",Mainline,$2.99
1984,The Transformers,Hasbro,-,Autobot,Bumper,-,Mazda Familia XG1500,Minibot,"Based on a Choro-Q (aka Penny Racer) Mazda Familia XG1500. Not an official Transformer release, possibly used to bulk up the initial toy line as with the yellow Cliffjumper and red Bumblebee. Said to have been sold on both Cliffjumper or Bumblebee card but the only carded versions found have only been on Cliffjumpers backing card.",Mainline,$2.99
